English sentence,Swahii Translation
Children passed on their way to school and runners jogged past in the evenings.,Watoto walipitia kwenda shuleni na wakimbiaji waligonga jioni.
I love watching educational movies.,Ninapenda kutazama sinema za kielimu.
Where can I buy flowers in Kampala?,Ninaweza kununua wapi maua huko Kampala?
I saw two men standing by the road side.,Niliona watu wawili wakiwa wamesimama kando ya barabara.
"The two girls wanted to cross the road, they held hands for safety.","Wasichana hao wawili walitaka kuvuka barabara, walishika mikono kwa usalama."
"Before you cross the road, look left, look right, look left again.","Kabla ya kuvuka barabara, angalia kushoto, angalia kulia, angalia kushoto tena."
You should check the road if it's safe to cross.,Unapaswa kuangalia barabara ikiwa ni salama kuvuka.
The cars in the parking lot are too close to each other.,Magari katika kura ya maegesho ni karibu sana kwa kila mmoja.
She ran as fast as she could over a short distance.,Alikimbia haraka kama angeweza kwa umbali mfupi.
She yelled at me in the middle of the road.,Alinipigia katikati ya barabara.
The children crossed the road carelessly.,Watoto walivuka barabara bila kujali.
There were loud car horns on the busy street at rush hours.,Kulikuwa na pembe kubwa za gari kwenye barabara iliyokuwa na shughuli nyingi saa za kukimbilia.
The car knocked him with great force into the air.,Gari ilimgonga kwa nguvu kubwa angani.
Her head hit on top of my car before she landed down.,Kichwa chake kiligonga juu ya gari langu kabla ya kutua.
Her mother got shocked when she heard of the accident.,Mama yake alishtuka aliposikia juu ya ajali hiyo.
We all ran into the house after what had happened.,Sote tulikimbilia ndani ya nyumba baada ya kile kilichotokea.
"A girl was knocked by a car, she was lying down and not moving.","Msichana aligongwa na gari, alikuwa amelala chini na sio kusonga."
My father ran outside to help the accident victim.,Baba yangu alikimbia nje kusaidia mwathirika wa ajali.
We quickly called an ambulance to help the injured people.,Tuliita haraka ambulensi kusaidia watu waliojeruhiwa.
"After the accident, people began to gather as she laid unconscious. ","Baada ya ajali, watu walianza kukusanyika wakati yeye aliweka fahamu."
The sound on an ambulance siren filled the air.,Sauti kwenye siren ya ambulensi ilijaza hewa.
The accident victim was carefully placed on a stretcher and taken to the hospital.,Mwathiriwa wa ajali aliwekwa kwa uangalifu kwenye sehemu ya juu na kupelekwa hospitalini.
The local school introduced road safety lessons for parents and children.,Shule ya mtaa ilianzisha masomo ya usalama barabarani kwa wazazi na watoto.
The community petitioned for a pedestrian crossing.,Jamii iliomba kwa kuvuka kwa watembea kwa miguu.
Children should cross the road after with the guidance from elders.,Watoto wanapaswa kuvuka barabara baada ya mwongozo kutoka kwa wazee.
My friend challenged to a race to see who was faster.,Rafiki yangu aligombea mbio ili kuona ni nani alikuwa haraka.
He boasted that he will win and rest in the exams.,Alijivunia kwamba atashinda na kupumzika katika mitihani.
Delegates from outside countries were invited to the running competition.,Wajumbe kutoka nchi za nje walialikwa kwenye mashindano ya kukimbia.
They lined up and waited for a signal to move.,Walijiunga na wakangojea ishara ya kusonga.
There are different classes of race cars.,Kuna madarasa tofauti ya magari ya mbio.
She laughed until tears rolled out of his eyes.,Alicheka hadi machozi yakatoka kwa macho yake.
I am the plaintiff in that trial.,Mimi ndiye mdai katika jaribio hilo.
"Suddenly, we heard a great noise inside the house.","Ghafla, tulisikia kelele kubwa ndani ya nyumba."
It is dangerous to jump off a moving lorry.,Ni hatari kuruka kwenye lori inayosonga.
I can't let anyone watch what I am doing.,Siwezi kumruhusu mtu yeyote aangalie kile ninachofanya.
We were amazed by the size of the crowd.,Tulishangazwa na saizi ya umati.
They go running every evening.,Wanaenda kukimbia kila jioni.
A group of girls jumped up and cheered the village football team during the match.,Kundi la wasichana liliruka na kushangilia timu ya mpira wa vijijini wakati wa mechi.
Farmers approached a large farm with a proposal to tap into their irrigation system.,Wakulima walikaribia shamba kubwa na pendekezo la kugundua mfumo wao wa umwagiliaji.
He laughed at my joke and put a friendly arm around my shoulder.,Alicheka utani wangu na kuweka mkono wa kirafiki karibu na bega langu.
The company is working hard to stay one step ahead in the competition.,Kampuni hiyo inafanya kazi kwa bidii kukaa hatua moja mbele katika mashindano.
He was the first to reach the finish line.,Alikuwa wa kwanza kufikia mstari wa kumaliza.
She won the race and joyously shouted as she crossed the finish line.,Alishinda mbio hizo na akapiga kelele kwa furaha wakati anavuka safu ya kumaliza.
"My brother was so annoyed at me, he stormed off.","Ndugu yangu alinikasirikia, aliondoka."
She won the first prize in the one hundred metre race.,Alishinda tuzo ya kwanza katika mbio za mita mia moja.
The supermarket offered prizes for the first ten customers.,Duka kubwa lilitoa tuzo kwa wateja kumi wa kwanza.
This is the original source of the information about that topic.,Hii ndio chanzo asili cha habari kuhusu mada hiyo.
The driver of that bus was a woman. ,Dereva wa basi hilo alikuwa mwanamke.
"We used this vehicle to move fast from place to place in town.
","Tulitumia gari hili kusonga haraka kutoka mahali hadi mahali jijini.
"
"In our community, driving is a male dominated activity.","Katika jamii yetu, kuendesha gari ni shughuli inayotawaliwa na kiume."
Females are usually not involved in driving.,Wanawake kawaida hawashiriki katika kuendesha.
I asked my father to give me money to take driving lessons.,Nilimuuliza baba yangu anipe pesa kuchukua masomo ya kuendesha gari.
Most women drive at a manageable speed.,Wanawake wengi huendesha kwa kasi inayoweza kudhibitiwa.
"I can do anything, other people do.","Naweza kufanya chochote, watu wengine hufanya."
She convinced us to give her the job.,Alitushawishi tumpe kazi hiyo.
Her parents permitted her to start taking driving lessons.,Wazazi wake walimruhusu aanze kuchukua masomo ya kuendesha gari.
My friend successfully completed the medical training.,Rafiki yangu alifanikiwa kumaliza mafunzo ya matibabu.
Have thought about what we discussed yesterday?,Umefikiria juu ya kile tulichojadili jana?
They agreed to buy for him a motorcycle.,Walikubali kumnunulia pikipiki.
Some motorcyclists wait for customers along Kampala streets.,Baadhi ya waendeshaji pikipiki wanangojea wateja kando ya mitaa ya Kampala.
It is a good idea to encourage students to read on their own.,Ni wazo nzuri kuhamasisha wanafunzi kusoma wenyewe.
He put his phone number on the back of his taxi.,Aliweka nambari yake ya simu nyuma ya teksi yake.
There is free transport for pregnant women and mothers who have delivered. ,Kuna usafirishaji wa bure kwa wanawake na mama wajawazito ambao wametoa.
Women and mothers whose children got sick called her for free transport.,Wanawake na mama ambao watoto wao waliugua walimwita kwa usafirishaji wa bure.
He earned money by transporting people.,Alipata pesa kwa kusafirisha watu.
She continued to give free service to people who didn't have money.,Aliendelea kutoa huduma ya bure kwa watu ambao hawakuwa na pesa.
My mother is happy with her work at the farm.,Mama yangu anafurahi na kazi yake shambani.
Elders blessed her for the kind work she does.,Wazee walimbariki kwa kazi ya fadhili anayofanya.
Everybody in our village all the time talks about the great work she did.,Kila mtu katika kijiji chetu wakati wote anaongea juu ya kazi kubwa aliyoifanya.
Doing good always pays off.,Kufanya vizuri kila wakati hulipa.
She is the first woman to ride a motorcycle in our village.,Yeye ndiye mwanamke wa kwanza kupanda pikipiki katika kijiji chetu.
He is the new school library attendant.,Yeye ndiye mhudumu mpya wa maktaba ya shule.
A woman went with her baby into the forest.,Mwanamke alikwenda na mtoto wake msituni.
They went to buy food from the market.,Wakaenda kununua chakula kutoka sokoni.
Ripe fruits are soft and sweet.,Matunda yaliyoiva ni laini na tamu.
How can I get my baby to sleep through the night?,Ninawezaje kumfanya mtoto wangu alale usiku?
We live in a very large community.,Tunaishi katika jamii kubwa sana.
We went to the hospital to see her newborn baby.,Tulikwenda hospitalini kumuona mtoto wake mchanga.
They were all surprised to see me there.,Wote walishangaa kuniona hapo.
What was your mother doing when you came home?,Je! Mama yako alikuwa akifanya nini ulipokuja nyumbani?
The loud music in the room woke up the baby.,Muziki mkubwa ndani ya chumba ulimuamsha mtoto.
Playing is important to healthy brain development.,Kucheza ni muhimu kwa maendeleo ya ubongo yenye afya.
Everyone laughed behind his back.,Kila mtu alicheka nyuma ya mgongo wake.
The woman looked down to see why the baby was laughing.,Mwanamke huyo aliangalia chini kuona kwanini mtoto alikuwa akicheka.
Don't let strangers in the house.,Usiruhusu wageni ndani ya nyumba.
I'm afraid I can't help you.,Ninaogopa siwezi kukusaidia.
People in that country continued to look up to their president for peaceful leadership.,Watu katika nchi hiyo waliendelea kumtafuta rais wao kwa uongozi wa amani.
She was afraid because she failed the test.,Aliogopa kwa sababu alishindwa mtihani.
I am a single mother of a beautiful baby girl.,Mimi ni mama mmoja wa mtoto mzuri wa kike.
It rained so heavily last night that the tree fell near our house.,Ilinyesha sana jana usiku hadi mti ukaanguka karibu na nyumba yetu.
He took off his hat and greeted me.,Akaondoa kofia yake na kunisalimia.
His teacher gave him all the English books.,Mwalimu wake alimpa vitabu vyote vya Kiingereza.
He bought an expensive gift for his wife.,Alinunua zawadi ya gharama kubwa kwa mkewe.
I don't want to go home in the dark.,Sitaki kwenda nyumbani gizani.
They moved to a more peaceful village.,Walihamia katika kijiji cha amani zaidi.
Your baby has given me peace.,Mtoto wako amenipa amani.
Ebola disease is being monitored in humans and animals to develop effective antivirals.,Ugonjwa wa Ebola unafuatiliwa kwa wanadamu na wanyama kukuza antivirals bora.
"The Uganda Museum is located in Kampala, Uganda.","Jumba la kumbukumbu la Uganda liko Kampala, Uganda."
The museum displays a collection of Uganda's cultural origins.,Jumba la kumbukumbu linaonyesha mkusanyiko wa asili ya kitamaduni ya Uganda.
The British colonist found interesting playable music instruments at the Uganda Museum.,Mkoloni wa Uingereza alipata vyombo vya muziki vya kupendeza vya kucheza kwenye Jumba la kumbukumbu la Uganda.
Among the collections in the Uganda Museum are hunting equipments.,Kati ya makusanyo katika Jumba la Makumbusho ya Uganda ni vifaa vya uwindaji.
The Uganda Museum is the oldest in East Africa.,Jumba la kumbukumbu la Uganda ni kongwe zaidi katika Afrika Mashariki.
The museum is over one hundred thirteen years old.,Jumba la kumbukumbu ni zaidi ya miaka mia moja kumi na tatu.
The museum has a gallery on Early History.,Jumba la kumbukumbu lina nyumba ya sanaa juu ya historia ya mapema.
The music gallery displays a collection of musical instruments from all parts of Uganda.,Matunzio ya muziki yanaonyesha mkusanyiko wa vyombo vya muziki kutoka sehemu zote za Uganda.
The drums are widely used in music entertainment.,Ngoma hutumiwa sana katika burudani ya muziki.
The Uganda Museum carries out intensive research.,Makumbusho ya Uganda hufanya utafiti wa kina.
The research Unit has yielded fossils that relate to human evolution.,Sehemu ya utafiti imetoa visukuku ambavyo vinahusiana na mabadiliko ya mwanadamu.
The fossil ape is aged around nineteen to twenty million years.,Ape ape ni wa miaka karibu kumi na tisa hadi milioni ishirini.
Research on organic environment heritage sites has also taken place in various parts of Uganda.,Utafiti juu ya tovuti za urithi wa mazingira pia umefanyika katika sehemu mbali mbali za Uganda.
The Uganda museum collaborates with different universities in the world.,Jumba la kumbukumbu la Uganda linashirikiana na vyuo vikuu tofauti ulimwenguni.
A wide range of collections exists from the past.,Makusanyo anuwai yanapatikana kutoka zamani.
The Natural History gallery is open to the public.,Matunzio ya Historia ya Asili ni wazi kwa umma.
Collections in storage are available to researchers and students on request.,Makusanyo katika uhifadhi yanapatikana kwa watafiti na wanafunzi kwa ombi.
Publications of findings can be found in the daily record book.,Machapisho ya matokeo yanaweza kupatikana katika kitabu cha rekodi ya kila siku.
Uganda Museum offers educational services in different ways.,Makumbusho ya Uganda hutoa huduma za kielimu kwa njia tofauti.
Topical lessons are carried in relation to the school curriculum.,Masomo ya juu hubeba kuhusiana na mtaala wa shule.
Most of the primary schools take an educational tour in the museum.,Shule nyingi za msingi huchukua ziara ya kielimu kwenye jumba la kumbukumbu.
Some schools in remote areas can not visit the museum.,Shule zingine katika maeneo ya mbali haziwezi kutembelea makumbusho.
Some objects are loaned out to schools to be used as visual aids.,Vitu vingine vinakopwa kwa shule zitumike kama misaada ya kuona.
The museum has workshops on relevant topics for the public in the auditorium.,Jumba la kumbukumbu lina Warsha juu ya mada husika kwa umma katika ukumbi.
The museum has a canteen with a variety of traditional food from Uganda.,Jumba la kumbukumbu lina canteen na aina ya chakula cha jadi kutoka Uganda.
The museum has a cultural village with huts despite the traditional lifestyle of Ugandans.,Jumba la kumbukumbu lina kijiji cha kitamaduni kilicho na vibanda licha ya maisha ya jadi ya Waganda.
Tourists come to experience the indigenous ways of people living in Uganda.,Watalii wanapata uzoefu wa njia asilia za watu wanaoishi nchini Uganda.
There are different tribes in Uganda.,Kuna makabila tofauti nchini Uganda.
The most amazing things found in the Tooro house are the households.,Vitu vya kushangaza zaidi vinavyopatikana katika nyumba ya Tooro ni kaya.
There are different traditional ways of preparing local meals.,Kuna njia tofauti za jadi za kuandaa milo ya ndani.
